reliability,n_threads,paper_sender_util,our_sender_util,sender_error_pct,paper_broker_util,our_broker_util,broker_error_pct
q_99%,4,0.7,0.7575000000000001,8.21428571428573,0.7,0.7651515151515151,9.307359307359313
q_99%,5,0.57,0.606,6.315789473684216,0.57,0.6121212121212121,7.389686337054757
q_99%,6,0.48,0.505,5.208333333333338,0.48,0.51010101010101,6.271043771043766
q_99%,7,0.42,0.4328571428571429,3.061224489795929,0.42,0.43722943722943725,4.1022469593898245
q_99%,8,0.37,0.37875000000000003,2.3648648648648742,0.37,0.38257575757575757,3.3988533988533987
q_99%,9,0.33,0.33666666666666667,2.0202020202020163,0.33,0.3400673400673401,3.050709111315169
q_99%,10,0.3,0.303,1.0000000000000009,0.3,0.30606060606060603,2.020202020202015
q_88%,4,0.73,0.7575000000000001,3.767123287671244,0.85,0.8607954545454545,1.2700534759358233
q_88%,5,0.58,0.606,4.482758620689659,0.68,0.6886363636363636,1.2700534759358166
q_88%,6,0.49,0.505,3.061224489795921,0.56,0.5738636363636364,2.475649350649339
q_88%,7,0.42,0.4328571428571429,3.061224489795929,0.48,0.49188311688311687,2.475649350649351
q_88%,8,0.37,0.37875000000000003,2.3648648648648742,0.42,0.43039772727272724,2.4756493506493458
q_88%,9,0.33,0.33666666666666667,2.0202020202020163,0.37,0.38257575757575757,3.3988533988533987
q_88%,10,0.3,0.303,1.0000000000000009,0.34,0.3443181818181818,1.2700534759358166
